@relation 'ToWeka_sectionSegmentation'
@attribute m1 numeric
@attribute m5 numeric
@attribute m6 numeric
@attribute m7 numeric
@attribute m8 numeric
@attribute m9 numeric
@attribute m10 numeric
@attribute m13 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v4 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute vCent numeric
@attribute vFlat numeric
@attribute class  {tani,	non_tani,	}
@data
-868.163330,-3.360642,15.573889,-22.953239,-4.415598,7.428256,-3.019381,5.748699,10640.866211,1243.089722,431.225739,105.805580,71.055779,0.002833,0.009213,tani
-813.121704,-1.083742,38.111889,-17.863361,-6.157235,11.673504,-4.604147,4.505448,9686.647461,842.403137,746.348816,88.764221,128.638382,0.000744,0.000447,tani
-839.307495,-7.374949,19.140244,-13.585486,-6.333230,8.901248,-3.606261,-3.108442,8565.212891,1007.790833,593.077332,159.332733,138.010788,0.000691,0.000426,tani
-819.932495,-11.306153,19.007393,-14.433225,-10.424515,9.831835,-1.433998,-2.555165,9792.639648,669.402710,500.527710,195.882690,164.086517,0.000597,0.000531,tani
-837.216003,0.430522,8.382692,-15.379597,-9.093276,6.287889,1.831698,-0.010734,13122.724609,956.237061,347.902527,111.977097,96.638138,0.000777,0.000466,tani
-843.806091,5.476508,13.310492,-11.190864,-7.057849,5.889765,-0.465366,-4.488926,12351.100586,820.333740,333.159576,87.537994,78.982452,0.000971,0.000632,tani
-806.341431,-4.279727,17.771435,-12.503882,-10.175257,8.888175,2.275214,-4.522876,9637.862305,916.777283,493.306244,67.001968,74.979454,0.000590,0.000340,tani
-827.039246,-3.028314,18.311491,-12.137450,-8.107541,9.154337,1.932121,-1.750410,10567.035156,1268.837769,412.779968,152.313675,73.478798,0.001009,0.000648,tani
-833.202942,5.888792,17.549152,-4.711238,-6.711277,6.336580,5.480141,1.984080,11161.917969,943.480530,548.492798,66.060844,98.912483,0.000865,0.000589,tani
-828.046265,4.237126,31.908665,-12.797864,-8.511885,12.436543,-0.470237,0.101748,8725.229492,962.133240,436.549438,115.634560,99.988205,0.000864,0.000610,tani
-848.889709,6.483966,20.716122,-12.444211,-8.995398,9.007290,-2.532177,1.175316,9774.900391,1034.205322,383.439362,159.802414,138.590027,0.001138,0.000882,tani
-850.676270,2.783449,21.150928,-11.922057,-3.283653,7.889194,-1.567038,3.608308,10803.857422,1000.933044,673.871094,148.328552,91.402832,0.001196,0.000773,tani
-822.951538,-1.366885,25.614586,-11.062387,-8.495681,11.080996,-2.433104,0.421422,10038.985352,1410.835938,843.966919,79.640778,116.029076,0.001133,0.000725,tani
-818.731384,6.689835,29.139004,-6.066051,-4.528706,11.913407,0.695854,-1.488147,10156.230469,1218.864746,468.671143,149.391144,69.982437,0.001161,0.000749,tani
-810.981873,5.497703,22.279343,-8.015092,-2.303941,6.893611,3.005119,-1.152980,10910.750977,1028.650879,488.654266,98.554947,58.382961,0.001000,0.000522,tani
-855.100525,5.894203,19.130781,-13.286552,-7.399074,6.218378,-1.896028,-1.418469,9617.046875,827.517700,390.750702,118.173683,99.154228,0.000626,0.000474,tani
-875.772827,6.118854,8.236886,-10.097703,-3.392998,1.705780,1.463978,6.699828,10074.827148,1022.018311,353.642395,110.406693,99.516808,0.000807,0.000526,tani
-818.665649,-1.652980,17.061666,-14.184414,-3.094979,3.481809,6.080858,3.802411,9883.659180,1081.602905,677.807312,99.184128,160.283661,0.000690,0.000566,tani
-820.868225,-2.520838,10.370029,-18.447548,-4.066416,4.266953,0.311362,-0.337663,9198.976562,733.658142,610.810547,116.444450,107.879349,0.000546,0.000284,tani
-830.965515,1.303993,13.951946,-12.635915,-6.989198,5.571079,2.907955,2.665105,10027.801758,1494.717407,462.842926,96.550034,77.461105,0.000825,0.000539,tani
-822.999146,-3.767378,14.889510,-15.310024,-5.047350,8.592632,1.971682,-0.099641,10078.764648,1078.134644,484.370819,113.635849,97.081329,0.000862,0.000535,tani
-811.989990,-0.135772,18.898817,-13.028394,0.443281,5.488575,4.510470,0.377082,9874.462891,1295.859375,778.872009,53.369072,72.369957,0.000794,0.000379,tani
-820.835754,4.318737,16.857689,-10.586118,-3.938470,2.775629,-0.792046,-0.223656,6655.901367,866.127319,347.181458,147.120239,61.368938,0.000415,0.000233,tani
-812.110901,8.439308,20.181984,-9.365408,-5.747700,0.707635,-4.472520,-3.713056,5468.913574,767.442078,193.706528,108.476540,105.818596,0.000298,0.000224,tani
-792.311584,4.619416,19.042614,-14.649401,-3.259158,9.116336,2.810607,0.492789,8099.531738,740.108826,379.428711,130.810364,90.242607,0.000539,0.000261,tani
